Country Name,Sum of 1975,Sum of 1976,Sum of 1977,Sum of 1978,Sum of 1979,Sum of 1980,Sum of 2015,Sum of 2016,Sum of 2017,Sum of 2018
Algeria,30.95847885,29.20469361,19.1427392,29.85120594,18.12953053,17.380065,0.2971310276,0.8157745024,8.380854997,11.1022592
Angola,,,,,,,11.77631343,13.46824221,0.6254490024,20.42805983
Australia,20.55914424,12.22876176,5.920917789,10.49023579,11.60939456,14.01483372,5.984082435,6.666188127,4.521987656,2.373822341
Botswana,,,25.99361764,11.39673037,64.52802421,19.02811628,19.8754984,5.391076852,2.72261692,8.312968021
Cameroon,12.57794294,25.08765059,38.12551715,15.43331139,22.54699824,21.38663269,8.802922255,5.000987435,5.432283214,13.93785635
"Egypt, Arab Rep.",21.46570686,25.9774467,34.03462921,27.0278834,31.32567109,51.41942931,18.60496444,39.50914199,20.4504937,13.30213982
Ghana,37.9172761,37.06920807,60.30327433,68.52987047,15.76674076,33.80011477,25.57401701,22.49901339,16.06563109,15.76090955
Libya,4.854599519,29.85657464,25.49538109,14.86781753,35.86954943,26.63189843,12.50704492,22.07368061,15.22337347,-0.1246465454
Madagascar,1.869113388,15.96507155,13.62910619,15.69214033,10.21391631,20.59791689,16.52724631,18.47923458,18.09891823,11.95693577
Mali,19.86585343,11.45580323,15.36923119,23.11196126,16.74451577,4.472633505,10.39295165,10.74451477,4.326518657,14.23296044
Mauritania,26.51192369,24.7562079,5.536081228,1.937540564,21.06702122,14.33233825,-0.2866965265,6.679225186,16.65953292,10.9110916
Morocco,20.09463385,18.10312577,19.7113588,17.65471005,13.85067964,10.8298786,5.690502032,4.736322589,5.545820788,4.060129461
Myanmar,18.66478506,10.48904989,4.321907601,15.68253968,16.6712404,16.98224156,30.67291739,17.44887373,20.54242235,14.57031427
Niger,9.800639921,31.08132341,28.72191251,44.00988389,19.01256434,20.81511797,4.585238558,8.670520213,-4.921029626,-2.10401399
Senegal,11.4473582,31.99228822,15.24179924,21.27510117,1.441756802,10.28276359,19.29165155,13.72434247,9.253146776,14.14955633
Somalia,28.37584133,19.38080126,28.71714529,32.51628274,37.42928054,20.19815637,,,,
Sudan,18.76575214,24.94997878,42.85714286,27.48980978,30.17877601,29.36758084,20.87693908,28.25888787,68.78463059,111.8263268
Timor-Leste,,,,,,,7.074645494,14.26541408,12.12980904,3.121971978
Uganda,21.14594707,32.72961373,19.38660027,25.53931991,46.99574982,34.81301553,11.73561835,11.13600174,12.70007407,8.232153103
Zambia,12.04811075,26.27698789,12.06293706,-8.48444947,30.1449774,9.005479715,35.19247149,-5.702272494,21.35614567,16.4780078