Country Name,Sum of 1975,Sum of 1976,Sum of 1977,Sum of 1978,Sum of 1979,Sum of 1980,Sum of 2015,Sum of 2016,Sum of 2017,Sum of 2018,,,
Algeria,5.045341613,8.386756484,5.258585987,9.214835701,7.47782655,0.790606973,3.700000001,3.2,1.299999999,1.400000001,,,
Angola,,,,,,,0.9435756134,-2.580097243,-0.1472074194,-2.003576754,,,
Australia,1.349972817,2.587639201,3.597509748,0.8967846942,4.04350392,3.034068216,2.192640028,2.770656693,2.367617253,2.940333582,,Australia,2.192640028
Benin,-4.895345445,0.884356333,4.983663725,1.255078032,6.535747409,6.781763872,1.77815106,3.339673426,5.671555469,6.697259461,,Sub-Saharan Africa,2.844416825
Botswana,8.446250376,10.64737671,12.01204009,14.33280159,12.14858892,11.98690138,-1.697965616,4.303737457,2.90400635,4.478823484,,Burkina Faso,3.9125572
Burkina Faso,2.99838289,8.53489497,0.370353558,4.607825005,3.664621512,0.7968788724,3.9125572,5.958691719,6.15710463,6.81961748,,,
Burundi,0.6979202362,7.942660976,11.46945304,-0.9405759892,1.66495495,0.9910557251,-3.900003086,-0.6000200005,0.5000099988,1.609933082,,,
Cameroon,11.24505877,-5.495138397,13.73987152,22.00300492,6.035118773,-1.965291669,5.651463744,4.648481551,3.549087318,4.062405319,,,
Chad,9.010267306,2.98076527,2.234624849,-0.469634188,-21.44108769,-6.047670747,2.767675685,-6.255527085,-2.988695986,2.3740378,,,
"Congo, Dem. Rep.",-4.981631005,-5.309002081,0.7607936016,-5.345291528,0.4300882621,2.194912924,6.91618781,2.399379098,3.726947653,5.8211211,,,
"Congo, Rep.",7.731596839,0.9162867534,-8.953427981,6.35974701,9.813224739,17.63660548,2.646485877,-2.800018788,-1.801001225,1.6,,,
Cote d'Ivoire,8.252886369,12.91639744,7.314459155,10.90945365,2.394407464,-10.95769727,8.84285995,7.179207824,7.359637184,6.793487967,,,
Djibouti,,,,,,,7.696085576,6.652650372,5.403099843,8.407662666,,,
"Egypt, Arab Rep.",8.939147158,13.27968944,9.003044267,8.628767646,4.547689628,10.01132904,4.372019079,4.346643453,4.181221001,5.314121037,,,
Eritrea,,,,,,,,,,,,,
Gabon,19.19011491,35.62533797,-12.58209117,-24.04920607,0.4744052797,2.552937158,3.878899395,2.091442208,0.4797622706,0.8358049694,,,
"Gambia, The",12.39342908,7.351225734,3.439576058,6.316446315,-1.328183166,6.270079608,4.058073804,1.943359655,4.822611249,6.547026565,,,
Ghana,-12.43162902,-3.530182806,2.274107244,8.475935599,-2.514941418,0.4716959426,2.178206744,3.447792991,8.143446549,6.263480732,,,
India,9.149912015,1.663103637,7.254764586,5.712532089,-5.238182703,6.735821528,7.996253444,8.256305844,7.043820855,6.119586841,,,
Indonesia,4.977300867,6.886564974,8.761325601,6.767069858,7.324309486,9.880077522,4.8763223,5.033069183,5.069785901,5.169705609,,,
"Iran, Islamic Rep.",-2.419332157,17.23363078,-4.064888729,-14.05217049,-10.51398398,-27.5264732,-1.32064512,13.39624446,3.755187367,,,,
Iraq,12.49066287,17.17510281,1.899962545,17.05696307,20.86925531,24.75372713,2.477664617,15.21246273,-2.494642939,-0.5636154717,,,
Kenya,0.8822031784,2.153964497,9.453797849,6.912493547,7.615226042,5.591976207,5.718507133,5.878949299,4.805696524,6.318450702,,,
Lesotho,-13.51349756,11.04912916,21.80903496,18.31687489,2.893918778,-2.74477924,2.650144247,5.04708319,-1.321685153,-0.4526728564,,,
Liberia,,,,,,,0,-1.599584075,2.468626095,1.222551313,,,
Libya,,,,,,,-8.862039363,-2.79546889,26.68090263,15.13279989,,,
Madagascar,1.258691634,-3.068858391,2.364000359,-2.661805965,9.85465029,0.9527075881,3.132295888,3.993146085,3.933316171,4.564782759,,,
Mali,11.62504914,13.62343853,6.348647194,-1.463476332,10.39567721,-4.325839869,6.167479219,5.764064945,5.418533372,4.650586624,,,
Mauritania,-5.134374447,8.54610493,-1.878593683,-0.5047138324,4.790039837,3.37121022,5.376339237,1.260909224,3.497175006,2.115267637,,,
Morocco,7.558221561,10.81278134,6.059167679,2.232663388,4.793787205,3.642164813,4.536378168,1.05985639,4.234850054,2.99021417,,,
Mozambique,,,,,,,6.72327878,3.824214319,3.741317593,3.428173661,,,
Myanmar,4.152709189,6.080396229,5.952286611,6.517817023,5.201277481,7.938538081,6.99284029,5.7500645,6.404977325,6.750460146,,,
Namibia,,,,,,,4.526770001,-0.2807079882,-0.2562759059,0.6983741066,,,
Niger,-2.793193436,0.6782034023,7.764581119,13.47261233,7.146996066,-2.232444691,4.367782715,5.688552607,4.997928857,7.004561951,,,
Philippines,5.564773624,8.806630567,5.602055577,5.172103287,5.639675746,5.148911294,6.348309717,7.14945675,6.930988326,6.341485571,,,
Rwanda,-2.113825423,19.50457717,1.99410948,9.150840818,11.86990804,8.951612331,8.868309542,5.981765258,3.986786755,8.569650988,,,
Senegal,7.535662599,8.920503704,-2.682905305,-3.953931262,7.001685615,-3.31064773,6.367043651,6.356068572,7.407486186,6.379556584,,,
Sierra Leone,1.669216524,-0.4491763415,0.04667580984,2.406332166,4.511265607,4.843503756,-20.59877072,6.055474029,4.211182649,3.446162621,,,
Somalia,30.07369858,-1.016716701,23.30749051,3.727489087,-2.708465849,-3.901390044,,,,,,,
South Africa,1.695448177,2.249904054,-0.09403753395,3.014548966,3.790503812,6.620585081,1.193732801,0.3990879296,1.414512626,0.7870555705,,,
South Sudan,,,,,,,-10.79336463,,,,,,
Sub-Saharan Africa,-0.1075097758,5.262127399,2.394065969,-0.3208406419,4.104170449,4.028994285,2.844416825,1.237143931,2.548365371,2.410646746,,,
Sudan,15.71346645,16.66521974,6.223853782,-5.930986722,-5.018599329,1.524310148,4.906041879,4.699976039,4.283086697,-2.320827321,,,
Syrian Arab Republic,19.52460785,10.96171913,-1.273737974,8.726630988,3.632355619,11.98320186,,,,,,,
Timor-Leste,,,,,,,3.055989984,3.550517987,-3.798648612,-0.7798578356,,,
Togo,2.440541185,-2.05152259,6.95908537,11.04543451,-5.167742641,14.57695611,5.742868453,5.559079306,4.357413915,4.91014754,,,
Turkey,7.17411269,10.46117956,3.406669804,1.502933011,-0.6241135702,-2.447350426,6.085886632,3.183831543,7.470866893,2.826776118,,,
Uganda,,,,,,,5.187859863,4.781000291,3.897747657,6.155079976,,,
United States,-0.2054640121,5.388139227,4.624159207,5.535302693,3.166150271,-0.256751931,2.880910466,1.56721517,2.21701033,3.183895003,,,
Zambia,-2.269328924,6.220975267,-4.564236174,0.5537638442,-3.023931031,3.035622351,2.919980212,3.776775492,3.504325948,4.03481157,,,